region_name;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;;country;Year;Score
 Guyana;39;41;40;37;38;34;29;30;27;28;; Guyana;2021;39
 Lesotho;38;41;40;41;42;39;44;49;49;45;; Lesotho;2021;38
 Burkina Faso;42;40;40;41;42;42;38;38;38;38;; Burkina Faso;2021;42
 India;40;40;41;41;40;40;38;38;36;36;; India;2021;40
 Morocco;39;40;41;43;40;37;36;39;37;37;; Morocco;2021;39
 Timor-Leste;41;40;38;35;38;35;28;28;30;33;; Timor-Leste;2021;41
 Trinidad and Tobago;41;40;40;41;41;35;39;38;38;39;; Trinidad and Tobago;2021;41
 Turkey;38;40;39;41;40;41;42;45;50;49;; Turkey;2021;38
 Colombia;39;39;37;36;37;37;37;37;36;36;; Colombia;2021;39
 Ecuador;36;39;38;34;32;31;32;33;35;32;; Ecuador;2021;36
 Brazil;38;38;35;35;37;40;38;43;42;43;; Brazil;2021;38
 Ethiopia;39;38;37;34;35;34;33;33;33;33;; Ethiopia;2021;39
 Kazakhstan;37;38;34;31;31;29;28;29;26;28;; Kazakhstan;2021;37
 Peru;36;38;36;35;37;35;36;38;38;38;; Peru;2021;36
 Serbia;38;38;39;39;41;42;40;41;42;39;; Serbia;2021;38
 Sri Lanka;37;38;38;38;38;36;37;38;37;40;; Sri Lanka;2021;37
 Suriname;39;38;44;43;41;45;36;36;36;37;; Suriname;2021;39
 Tanzania;39;38;37;36;36;32;30;31;33;35;; Tanzania;2021;39
 Gambia;37;37;37;37;30;26;28;29;28;34;; Gambia;2021;37
 Indonesia;38;37;40;38;37;37;36;34;32;32;; Indonesia;2021;38
 Albania;35;36;35;36;38;39;36;33;31;33;; Albania;2021;35
 Algeria;33;36;35;35;33;34;36;36;36;34;; Algeria;2021;33
 Ivory Coast;36;36;35;35;36;34;32;32;27;29;; Ivory Coast;2021;36
 El Salvador;34;36;34;35;33;36;39;39;38;38;; El Salvador;2021;34
 Kosovo;39;36;36;37;39;36;33;33;33;34;; Kosovo;2021;39
 Thailand;35;36;36;36;37;35;38;38;35;37;; Thailand;2021;35
 Vietnam;39;36;37;33;35;33;31;31;31;31;; Vietnam;2021;39
 Bosnia and Herzegovina;35;35;36;38;38;39;38;39;42;42;; Bosnia and Herzegovina;2021;35
 Mongolia;35;35;35;37;36;38;39;39;38;36;; Mongolia;2021;35
 North Macedonia;39;35;35;37;35;37;42;45;44;43;; North Macedonia;2021;39
 Panama;36;35;36;37;37;38;39;37;35;38;; Panama;2021;36
 Moldova;36;34;32;33;31;30;33;35;35;36;; Moldova;2021;36
 Philippines;33;34;34;36;34;35;35;38;36;34;; Philippines;2021;33
